Tag,Freq_in_tags,Freq_Offers,Manual validation,,,,,,
classes,12,5850,no,,,,,,
info,12,5605,no,,,,,,
relative,12,4782,no,,,,,,
users,12,4065,no,,,,,,
many,12,3711,no,,,,,,
launch,12,2055,no,,,,,,
sharing,12,1910,no,,,,,,
patterns,12,1586,no,,,,,,
feed,12,1433,no,,,,,,
transfer,12,1424,no,,,,,,
completion,12,1221,no,,,,,,
xaml,15,88,yes,,,,,,
shape,12,1133,no,,,,,,
effects,12,1089,no,,,,,,
editing,12,1010,no,,,,,,
jdbc,17,87,yes,,,,,,
composer,12,866,no,,,,,,
response,12,834,no,,,,,,
cpu,12,826,no,,,,,,
safari,16,81,yes,,,,,,
raw,12,514,no,,,,,,
usb,12,498,no,,,,,,
root,12,481,no,,,,,,
vaadin,14,80,yes,,,,,,
nhibernate,27,79,yes,,,,,,
streams,12,428,no,,,,,,
lite,14,77,yes,,,,,,
extended,12,423,no,,,,,,
gen,12,423,no,,,,,,
widgets,12,383,no,,,,,,
limit,12,372,no,,,,,,
blend,12,357,no,,,,,,
closed,12,355,no,,,,,,
convert,12,288,no,,,,,,
edit,12,281,no,,,,,,
oauth,35,76,yes,,,,,,
errors,12,189,no,,,,,,
servlet,12,187,no,,,,,,
razor,11,76,yes,,,,,,
elm,14,72,yes,,,,,,
vault,12,169,no,,,,,,
nunit,10,67,yes,,,,,,
castle,12,165,no,,,,,,
certificate,12,152,no,,,,,,
lib,12,150,no,,,,,,
diff,12,113,no,,,,,,
tab,12,112,no,,,,,,
realm,11,64,yes,,,,,,
runner,12,94,no,,,,,,
rule,12,90,no,,,,,,
ansi,12,88,no,,,,,,
regex,13,63,yes,,,,,,
sdl,10,63,yes,,,,,,
arrays,12,20,no,,,,,,
explicit,12,18,no,,,,,,
headers,12,16,no,,,,,,
init,12,15,no,,,,,,
jdk,15,60,yes,,,,,,
async,20,54,yes,,,,,,
dbms,10,53,yes,,,,,,
coldfusion,11,51,yes,,,,,,
utils,12,4,no,,,,,,
chef,11,123397,no,,,,,,
administration,11,45855,no,,,,,,
selection,11,39103,no,,,,,,
general,11,33628,no,,,,,,
pro,11,27811,no,,,,,,
asset,11,23765,no,,,,,,
best,11,19850,no,,,,,,
technology,11,15249,no,,,,,,
internal,11,12397,no,,,,,,
panel,11,10533,no,,,,,,
codes,11,10330,no,,,,,,
make,11,9681,no,,,,,,
micro,11,9375,no,,,,,,
messages,11,9373,no,,,,,,
segment,11,8829,no,,,,,,
spatial,11,8687,no,,,,,,
personal,11,7979,no,,,,,,
apply,11,7497,no,,,,,,
fusion,11,7028,no,,,,,,
way,11,5458,no,,,,,,
assets,11,4398,no,,,,,,
traffic,11,4188,no,,,,,,
roles,11,4068,no,,,,,,
scale,11,3504,no,,,,,,
motion,11,3334,no,,,,,,
macros,11,3108,no,,,,,,
fit,11,1981,no,,,,,,
party,11,1652,no,,,,,,
write,11,1635,no,,,,,,
music,11,1610,no,,,,,,
mongoose,10,49,yes,,,,,,
payments,11,1570,no,,,,,,
statistics,11,1159,no,,,,,,
clojure,19,47,yes,,,,,,
scan,11,1048,no,,,,,,
factor,11,961,no,,,,,,
idea,11,938,no,,,,,,
fedora,12,47,yes,,,,,,
lists,11,709,no,,,,,,
portal,11,683,no,,,,,,
dependent,11,635,no,,,,,,
netflix,11,572,no,,,,,,
compass,11,570,no,,,,,,
compare,11,569,no,,,,,,
links,11,514,no,,,,,,
backup,11,506,no,,,,,,
biztalk,17,46,yes,,,,,,
vertical,11,495,no,,,,,,
autodesk,11,446,no,,,,,,
replication,11,347,no,,,,,,
telerik,27,45,yes,,,,,,
split,11,305,no,,,,,,
mixed,11,287,no,,,,,,
canvas,11,279,no,,,,,,
passport,11,278,no,,,,,,
silverlight,19,45,yes,,,,,,
closure,11,233,no,,,,,,
llvm,18,45,yes,,,,,,
debugger,11,154,no,,,,,,
persistence,11,141,no,,,,,,
height,11,134,no,,,,,,
analyzer,11,120,no,,,,,,
overflow,11,99,no,,,,,,
jvm,10,44,yes,,,,,,
titanium,11,85,no,,,,,,
folders,11,83,no,,,,,,
intent,11,81,no,,,,,,
prolog,22,34,yes,,,,,,
war,11,67,no,,,,,,
exec,11,66,no,,,,,,
umbraco,15,30,yes,,,,,,
dump,11,53,no,,,,,,
daemon,11,27,yes,,,,,,
deferred,11,41,no,,,,,,
sails,11,36,no,,,,,,
weak,11,35,no,,,,,,
ptr,11,35,no,,,,,,
asynchronous,11,33,no,,,,,,
tridion,12,24,yes,,,,,,
render,11,23,no,,,,,,
odbc,11,22,yes,,,,,,
columns,11,20,no,,,,,,
nuget,11,15,no,,,,,,
shortcut,11,15,no,,,,,,
ribbon,11,13,no,,,,,,
playframework,14,21,yes,,,,,,
emacs,17,20,yes,,,,,,
unicode,11,9,no,,,,,,
slick,11,7,no,,,,,,
fonts,11,6,no,,,,,,
const,11,5,no,,,,,,
ee,11,4,no,,,,,,
pi,11,3,no,,,,,,
fiware,17,16,yes,,,,,,
timeout,11,1,no,,,,,,
commerce,10,336185,no,,,,,,
operations,10,152551,no,,,,,,
sites,10,119245,no,,,,,,
documents,10,65967,no,,,,,,
unique,10,59159,no,,,,,,
elements,10,41189,no,,,,,,
big,10,33115,no,,,,,,
contacts,10,32146,no,,,,,,
back,10,27433,no,,,,,,
working,10,23228,no,,,,,,
edition,10,23191,no,,,,,,
resharper,22,15,yes,,,,,,
difference,10,13835,no,,,,,,
lab,10,10785,no,,,,,,
volume,10,9891,no,,,,,,
delivery,10,8538,no,,,,,,
tasks,10,8508,no,,,,,,
use,10,7663,no,,,,,,
deep,10,7192,no,,,,,,
models,10,6174,no,,,,,,
relationship,10,5476,no,,,,,,
allocation,10,4458,no,,,,,,
board,10,3568,no,,,,,,
js,75,14,yes,,,,,,
two,10,3277,no,,,,,,
channel,10,3089,no,,,,,,
step,10,3076,no,,,,,,
responsive,10,3064,no,,,,,,
safety,10,2665,no,,,,,,
matching,10,2554,no,,,,,,
structured,10,2526,no,,,,,,
perfect,10,1768,no,,,,,,
edge,10,1658,no,,,,,,
low,10,1655,no,,,,,,
defined,10,1622,no,,,,,,
clean,10,1459,no,,,,,,
sony,10,1353,no,,,,,,
serial,10,1328,no,,,,,,
add,10,1160,no,,,,,,
count,10,1001,no,,,,,,
assignment,10,990,no,,,,,,
translation,10,647,no,,,,,,
operators,10,602,no,,,,,,
commit,10,530,no,,,,,,
tizen,12,14,yes,,,,,,
classic,10,485,no,,,,,,
emulator,18,13,yes,,,,,,
awesome,10,455,no,,,,,,
dsl,10,440,no,,,,,,
relational,10,400,no,,,,,,
adaptive,10,389,no,,,,,,
linking,10,381,no,,,,,,
gallery,10,373,no,,,,,,
complexity,10,369,no,,,,,,
nav,10,311,no,,,,,,
rad,10,289,no,,,,,,
tibco,10,286,no,,,,,,
bi,10,13,yes,,,,,,
toolbox,10,276,no,,,,,,
comments,10,275,no,,,,,,
clang,11,12,yes,,,,,,
aspnet,121,11,yes,,,,,,
persistent,10,224,no,,,,,,
socket,10,219,no,,,,,,
patch,10,218,no,,,,,,
rational,10,212,no,,,,,,
simulator,10,191,no,,,,,,
lisp,15,10,yes,,,,,,
item,10,186,no,,,,,,
stackoverflow,10,185,no,,,,,,
dotnet,10,184,no,,,,,,
attack,10,165,no,,,,,,
rpc,10,162,no,,,,,,
servicestack,11,9,yes,,,,,,
listener,10,151,no,,,,,,
prism,10,151,no,,,,,,
ninject,10,9,yes,,,,,,
snap,10,120,no,,,,,,
floating,10,118,no,,,,,,
filtering,10,113,no,,,,,,
sum,10,106,no,,,,,,
pseudo,10,101,no,,,,,,
cpp,10,100,no,,,,,,
socketio,10,9,yes,,,,,,
char,10,75,no,,,,,,
sorting,10,70,no,,,,,,
cart,10,68,no,,,,,,
webkit,20,8,yes,,,,,,
msbuild,16,8,yes,,,,,,
packet,10,62,no,,,,,,
compound,10,57,no,,,,,,
numeric,10,55,no,,,,,,
openid,10,55,no,,,,,,
converter,10,54,no,,,,,,
icons,10,54,no,,,,,,
registry,10,53,no,,,,,,
uri,13,7,yes,,,,,,
episerver,12,7,yes,,,,,,
bindings,10,47,no,,,,,,
installshield,12,7,yes,,,,,,
mule,10,31,no,,,,,,
timer,10,20,no,,,,,,
inspector,10,19,no,,,,,,
sitefinity,10,17,no,,,,,,
carousel,10,16,no,,,,,,
appcelerator,12,7,yes,,,,,,
cursor,10,12,no,,,,,,
ce,10,10,no,,,,,,
interop,19,6,yes,,,,,,
modx,11,1,yes,,,,,,
traversal,10,6,no,,,,,,
locking,10,2,no,,,,,,
ml,10,1,no,,,,,,
cipher,10,1,yes,,,,,,
